atis_flight, i want to fly from boston at 838 am and arrive in denver at 1110 in the morning
atis_flight, what flights are available from pittsburgh to baltimore on thursday morning
atis_flight_time, what is the arrival time in san francisco for the 755 am flight leaving washington
atis_airfare, cheapest airfare from tacoma to orlando
atis_airfare, round trip fares from pittsburgh to philadelphia under 1000 dollars
atis_flight, i need a flight tomorrow from columbus to minneapolis
atis_aircraft, what kind of aircraft is used on a flight from cleveland to dallas
atis_flight, show me the flights from pittsburgh to los angeles on thursday
atis_flight, all flights from boston to washington
atis_ground_service, what kind of ground transportation is available in denver
atis_flight, show me the flights from dallas to san francisco
atis_flight, show me the flights from san diego to newark by way of houston
atis_flight, what is the cheapest flight from boston to bwi
atis_flight, all flights to baltimore after 6 pm
atis_airfare, show me the first class fares from boston to denver
atis_ground_service, show me the ground transportation in denver
atis_flight, all flights from denver to pittsburgh leaving after 6 pm and before 7 pm
atis_flight, i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore
atis_flight, please give me the flights from boston to pittsburgh on thursday of next week
atis_flight, i would like to fly from denver to pittsburgh on united airlines
atis_flight, show me the flights from san diego to newark
atis_flight, please list all first class flights on united from denver to baltimore
atis_aircraft, what kinds of planes are used by american airlines
atis_airfare, i'd like to have some information on a ticket from denver to pittsburgh and atlanta
atis_flight, i'd like to book a flight from atlanta to denver
atis_airline, which airline serves denver pittsburgh and atlanta
atis_flight, show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm
atis_ground_service, atlanta ground transportation
atis_flight, i also need service from dallas to boston arriving by noon
atis_airfare, show me the cheapest round trip fare from baltimore to dallas
atis_flight, show me all flights from new york to milwaukee on northwest airlines departing at 720 am
atis_flight, flights from new york to miami
atis_flight, please find a flight on delta from philadelphia to san francisco and give me the flight numbers
atis_flight, i need a flight from dallas to san francisco
atis_airfare, fares and flights from pittsburgh to philadelphia
atis_airline, show me the airlines with first class flights
atis_flight, what are the flights from st. louis to burbank sunday evening
atis_flight, i'd like to arrange a flight from pittsburgh to atlanta
atis_flight, show flights from baltimore to san francisco between 6 pm and 8 pm on friday
atis_flight, i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december
